difficulty,prompt,o1,o2,o3,o4
N5,**新しい**くるまですね,あたらしい,あだらしい,あらたしい,あらだしい
N5,車,くるま,くろま,くるも,くまる
N5,大きい,おおきい,おきい,おうきい,おきな
N5,小さい,ちいさい,ちさい,ちいさな,ちいさ
N5,あの**ほてる**はゆうめいです,ホテル,ホラル,ホラハ,ホテハ
N5,ここは___です。べんきょうできません。,うるさい,くらい,さむい,あぶない
N5,きのうは**雨**がふっていました。,あめ,かぜ,はれ,ゆき
N5,みんなでがっこうから**出**ましょう。,でましょう,てましょう,しましょう,みましょう
N5,にほんの**七月**はあついです。,しちがつ,しちげつ,ななげつ,しちつき
N5,いえの**外**にかわいいネコがいます。,そと,うえ,した,なか
N5,**お母さん**はレストランでひるごはんをたべています。,おかあさん,おははさん,おにいさん,おとうさん
N5,きのうは**3時間**べんきょうをしました。,じかん,ときあいだ,ときかん,しかん
N5,このはしはとても**長**いです。,ながい,ちょうい,なかい,あつい
N5,そのデパートに**入**りましょう。,入りましょう,人りましょう,八りましょう,タりましょう
N5,**きょう**はいちがつここのかです。,今日,数日,昨日,明日
N5,**おとうさん**がいえでテレビをみています。,お父さん,お日さん,お母さん,お火さん
N5,**ともだち**とどうぶつえんにいきました。,友だち,公だち,文だち,太だち
N5,**かわ**でたくさんのさかながおよいでいます。,川,三,火,山
N5,あついひにアイスクリームを___。,たべる,ねる,たつ,みがく
N5,かれは___からはだがきれいだ。,わかい,おおきい,すくない,たかい
N5,ごはんをたべるよ。___！,いただきます,こんばんは,おはよう,さようなら
N5,やせたいから___をします。,うんどう,ゲーム,りょうり,べんきょう
N5,このレストランのうどんは___です。,ほそい,げんき,うるさい,おそい
N5,このなかでさいしょのりょうりがいちばんおいしかったです。,このなかでひとつめのりょうりがいちばんおいしかったです。,このなかでふたつめのりょうりがいちばんおいしかったです。,このなかでさいごのりょうりがいちばんおいしかったです。,このなかでつぎのりょうりがいちばんおいしかったです。
N5,きのうはいえでアイスクリームをたべました。,きのうはいえでつめたいたべものをたべました。,きのうはいえであついたべものをたべました。,きのうはいえであたたかいたべものをたべました。,きのうはいえでさむいたべものをたべました。
N5,わたしにのみものをください。,わたしにおちゃをください。,わたしにおもちゃをください。,わたしにおかしをください。,わたしにほんをください。
N5,**三月**にかぞくとどうぶつえんへいきました。,さんがつ,さんげつ,さんつき,ざんつき
N5,いっしょに**北**へあるきましょう。,きた,みなみ,にし,ひがし
N5,あなたはその**国**をしっていますか。,くに,うに,くち,かに
N5,きょうはおとうさんとスーパーへ**行**きました。,いきました,ききました,かきました,なきました
N5,あの**高**いテレビをかいましょう。,たかい,やすい,こうい,ひくい
N5,あついから**水**をのみました。,みず,すい,おちゃ,みす
N5,**おかあさん**はおひるごはんをつくっています。,お母さん,お日さん,お目さん,お田さん
N5,**がっこう**でにほんごのべんきょうをする。,学校,学交,字校,字交
N5,このアイスを**たべて**ください。,食べて,金べて,首べて,春べて
N5,あにがテレビを**みて**わらっています。,見て,男て,長て,目て
N5,きょうはあさしんぶんを**よみました**。,読みました,話みました,語みました,訓みました
N5,かぜをひいたから___がでる。,はなみず,インフルエンザ,ティッシュ,ペン
N5,ぼくはおかねがほしいから___をしている。,アルバイト,カラオケ,ドライブ,デート
N5,___がワンワンとにわでほえています。,いぬ,ねこ,さかな,むし
N5,きたないようふくをおとうさんと___。,あらう,でる,すわる,あるく
N5,おふろでシャワーを___。,あびる,はしる,きく,よむ
N5,わたしの30さいのたんじょうびはさらいねんです。,わたしの30さいのたんじょうびはにねんごです。,わたしの30さいのたんじょうびはいちねんごです。,わたしの30さいのたんじょうびはさんねんごです。,わたしの30さいのたんじょうびはいちねんまえです。
N5,きのうおにいさんとデパートにいきました。,きのうあにとデパートにいきました。,きのうあねとデパートにいきました。,きのうおとうととデパートにいきました。,きのういもうととデパートにいきました。
N5,いもうとは学校___いますよ。,に,へ,を,が
N5,A:「おたんじょうびおめでとう！」 B:「ありがとう。___うれしいです。」,とても,たまに,よく,あまり
N5,生徒:「試験はいつですか。」 先生:「明日___。」,あります,きます,います,もちます
N5,さかな___にくを食べたいです。,も,が,か,を
N5,（レストランで） 店員:「コーヒーです。お砂糖はいりますか。」 お客さん:「___。」 店員:「わかりました。」,はい、お願いします,いいえ、飲みます,いいえ、お願いです,はい、飲みません
N5,A:「生徒は___教室にいますか。」 B:「ええ、全員います。」,もう,あとで,まえに,なにか
N5,ぼくは電車___学校へ行きます。,で,に,が,を
N5,このカバンはお母さんから___。,もらいました,かしました,うりました,あげました
N5,田中:「はい、田中です。」 山本:「あ、山本です。___。」 田中:「ええ、少しお待ちください。」,小池さんはいますか,小池さんを話します,小池さんをください,小池さんがいいですか
N5,明日午前10時___来てください。,に,ぐらい,で,まで
N5,昨日スーパーでりんご___みかんなどを買いました。,や,も,へ,は
N5,（レストラン） 店員:「決まりましたか？」 客:「はい、___。」 店員:「わかりました。」,ビールをください,ビールをありますか,ビールを食べます,ビールを飲みますか
N5,A:「明日あなたはどこかへ行きますか。」 B:「___。」 A:「いいですね！」,川へ行きます,川でおよぎません,川がすきです,川は行きません
N5,クラスメイト___もんだいをかんがえる。,と,を,へ,に
N5,店員:「何を探していますか。」 お客さん:「___。」 店員:「はい、ありますよ。」,くつはありますか,くつをさがします,くつはいいですね,くつはございません
N5,A:「今日は夜も仕事ですか。」 B:「ええ、夜の8時___仕事です。」,まで,ので,もう,まだ
N5,A:「さようなら。」 B:「さようなら。また___。」,明日,昨日,今朝,今日
N5,お母さんがやさしいことば___くれた。,を,へ,に,が
N5,ここのちかくには**何**がありますか。,なに,どこ,どれ,だれ
N5,**南**のほうにカラオケがあります。,みなみ,にし,きた,ひがし
N5,このしゃしんの**山**はどこにありますか。,やま,かわ,うみ,えき
N5,おかあさんにがっこうのことを**話**す。,はなす,しるす,きかす,さがす
N5,**二時**にわたしとこうえんであいましょう。,にじ,ふたとき,にとき,にし
N5,**こども**はよるのくじまでねます。,子ども,木ども,小ども,水ども
N5,**6ねんご**にわたしは30さいになります。,年後,年語,生後,生語
N5,**ちゅうがっこう**でたくさんのともだちをつくりました。,中学校,申学校,子学校,小学校
N5,わたしは**ひと**のかおをおぼえられません。,人,火,八,入
N5,さいしょにこれをして___にそれをする。,つぎ,まず,きのう,まえ
N5,ひろいアパートより___アパートのほうがやすい。,せまい,からい,ふとい,やわらかい
N5,あなたはピアノを___のがすきですか。,ひく,かぐ,のむ,つける
N5,ことしは2050ねんだ。___は2051ねんだ。,らいねん,きょねん,さらいねん,おととし
N5,おねえさんはまいにちこうえんではしります。,おねえさんはいつもこうえんではしります。,おねえさんはすこしこうえんではしります。,おねえさんはときどきこうえんではしります。,おねえさんはたまにこうえんではしります。
N5,お母さん:「何時のバスに乗りますか。」 お父さん:「___。」,十時のバスに乗ります,十時もバスになります,十時にバスにとまります,バスを十時です
N5,A:「そのイスは何円でしたか？」 B:「二万円___でした。」,くらい,すぎる,あと,まえ
